TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (°C),Hot times
"iBoot Version: iBoot-7459.100.363.101.2
Rtos Version: PeRtosFactoryTests_H13G-1.0.20
Rbm Version: SiValFactoryTests_H13G-100040"
575,sc run 25 5 -coremask 0x2000,Rtos,7.906675,8.019,,,
576,echo >>>> Hammer and uRBM Memory Tests <<<<,Rtos,5.8e-05,0.032,,,
577,pmgr mode 0xa502256,Rtos,9.1e-05,0.031,,,
578,switcher pattern rotary 200 -jitter=150 -alt=50 -clk:s=5_3_4 -on -cpu=cc3,Rtos,0.000218,0.047,,,
579,sc run 431 5,Rtos,53.664743,53.755,,,
580,sc run 430 5,Rtos,8.722633,8.833,,,
581,sc run 61 5 -coremask 0xa100,Rtos,52.500665,52.601,,,
582,switcher off -reset,Rtos,2.9e-05,0.031,,,
583,pmgr mode 0x9502256,Rtos,0.000182,0.016,,,
584,switcher pattern ramp-rand 600 -jitter=580 -clk:p=1_2_3_4_5_6_7_8_9_10 -clk:e=1_2_3_4_5 -clk:s=3_4_5 -clk:d=4_5_6 -clk:i=2_3_4 -on -cpu=pms,Rtos,0.000863,0.094,,,
585,hammer -fmc 0x1F5EFF -urbm 0xFF -bonfire 0xFF -p -l 16 -t 5 -s 0xd356ab4ddbf811b0,Rtos,108.475603,108.623,,,
586,sc run 61 6 -coremask 0xa100,Rtos,63.374074,63.511,,,
587,sc run 67 5,Rtos,50.049122,50.213,,,
588,sc run 461 5 -coremask 0xa100,Rtos,52.77237,52.925,,,
589,sc run 462 5 -coremask 0xa100,Rtos,51.417322,51.568,,,
590,sc run 463 5,Rtos,5.234744,5.388,,,
591,switcher off -reset,Rtos,3.7e-05,0.031,,,
592,hammer -fmc 0x1ECEFF -urbm 0xFF -bonfire 0xFF -p -l 15 -t 3 -s 0xe7499494458fa430,Rtos,67.362304,67.478,,,
593,sc run 61 4 -coremask 0x2100,Rtos,42.154198,42.26,,,
594,echo >>>> uRBM EACC LVCC Tests <<<<,Rtos,7.4e-05,0.031,,,
595,pmgr mode 0x2502255,Rtos,0.00026,0.016,,,
596,sc run 35 5,Rtos,5.074932,5.171,,,
597,pmgr mode 0x2402245,Rtos,0.000237,0.032,,,
598,sc run 35 5,Rtos,5.129522,5.301,,,
599,pmgr mode 0x2302234,Rtos,0.000303,0.031,,,
600,sc run 35 5,Rtos,5.192441,5.295,,,
601,pmgr mode 0x2202234,Rtos,0.000217,0.031,,,
602,sc run 35 5,Rtos,5.190937,5.299,,,
603,pmgr mode 0x2102234,Rtos,0.000286,0.031,,,
604,sc run 35 5,Rtos,5.392096,5.498,,,
605,echo >>>> uRBM PACC LVCC Tests <<<<,Rtos,0.00013,0.031,,,
606,therm pid cc1 pcore init -skip=0_2_3_4_5_6_7_8_9_10_11_12_13_14,Rtos,0.000706,0.031,,,
607,therm pid cc1 pcore weights MAX 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0,Rtos,9e-05,0.031,,,
608,therm pid sp 75,Rtos,0.000117,0.016,,,
609,therm pid cc1 pcore enable,Rtos,0.000268,0.016,,,
610,pmgr mode 0xf202254,Rtos,0.000245,0.031,,,
611,sc run 38 5 -coredown 0x70,Rtos,2.025415,2.129,,,
612,sc run 404 5 -coredown 0x70,Rtos,5.051222,5.175,,,
613,sc run 406 5 -coredown 0x70,Rtos,5.108345,5.222,,,
614,sc run 407 5 -coredown 0x70,Rtos,5.040712,5.16,,,
615,sc run 429 5 -coredown 0x70,Rtos,5.083288,5.19,,,
616,sc run 38 5 -coredown 0xe0,Rtos,2.020203,2.143,,,
617,sc run 404 5 -coredown 0xe0,Rtos,5.077926,5.192,,,
618,sc run 406 5 -coredown 0xe0,Rtos,5.119086,5.238,,,
619,sc run 407 5 -coredown 0xe0,Rtos,5.04812,5.162,,,
620,sc run 429 5 -coredown 0xe0,Rtos,5.073134,5.19,,,
621,sc run 38 5 -coredown 0xb0,Rtos,2.026772,2.141,,,
622,sc run 404 5 -coredown 0xb0,Rtos,5.06195,5.177,,,
623,sc run 406 5 -coredown 0xb0,Rtos,5.092287,5.206,,,
624,sc run 407 5 -coredown 0xb0,Rtos,5.030023,5.145,,,
625,sc run 429 5 -coredown 0xb0,Rtos,5.084942,5.205,,,
626,sc run 38 5 -coredown 0xd0,Rtos,2.028864,2.144,,,
627,sc run 404 5 -coredown 0xd0,Rtos,5.078281,5.191,,,
628,sc run 406 5 -coredown 0xd0,Rtos,5.117849,5.239,,,
629,sc run 407 5 -coredown 0xd0,Rtos,5.050792,5.174,,,
630,sc run 429 5 -coredown 0xd0,Rtos,5.080759,5.193,,,
631,therm pid cc1 pcore disable,Rtos,0.000357,0.032,,,
632,pmgr mode 0xe202254,Rtos,9.2e-05,0.031,,,
633,therm toohot 105 10 105 10 7 1,Rtos,0.000273,0.032,,,
634,sc run 38 5 -coredown 0x70,Rtos,2.031912,2.156,,,
635,sc run 404 5 -coredown 0x70,Rtos,5.075995,5.191,,,
636,sc run 406 5 -coredown 0x70,Rtos,5.083735,5.19,,,
637,sc run 407 5 -coredown 0x70,Rtos,5.042774,5.161,,,
638,sc run 429 5 -coredown 0x70,Rtos,5.043065,5.162,,,
639,sc run 38 5 -coredown 0xe0,Rtos,2.01961,2.141,,,
640,sc run 404 5 -coredown 0xe0,Rtos,5.066347,5.176,,,
641,sc run 406 5 -coredown 0xe0,Rtos,5.096655,5.208,,,
642,sc run 407 5 -coredown 0xe0,Rtos,5.043314,5.162,,,
643,sc run 429 5 -coredown 0xe0,Rtos,5.068373,5.175,,,
644,sc run 38 5 -coredown 0xb0,Rtos,2.03434,2.16,,,
645,sc run 404 5 -coredown 0xb0,Rtos,5.07187,5.193,,,
646,sc run 406 5 -coredown 0xb0,Rtos,5.097954,5.207,,,
