attributeName,attributeValue,testName,subTestName,subSubTestName,relaxedUpperLimit,upperLimit,measurementValue,lowerLimit,relaxedLowerLimit,measurementUnits,priority,status,failureMessage,startTime,stopTime,timeInterval
SwName,LN DFU,,,,,,,,,,,,,,,
SwVersion,A_2.33.0.2-M_2.1.0-S0.0.6,,,,,,,,,,,,,,,
PrimaryIdentity,DLX1443001H1M9K1K,,,,,,,,,,,,,,,
LimitVersion,v1.0.0,,,,,,,,,,,,,,,
FixtureID,SC20210131LH-000004,,,,,,,,,,,,,,,
HeadID,4,,,,,,,,,,,,,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Set_VBATT_To_4200mV_And_OCP3A,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Delay_50ms_After_Set_4200mV,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Read_PPVBAT_Safety,NA,4410,4230,3700,NA,mV,0,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Read_IBAT_Safety,NA,155,0,0,NA,mA,0,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Set_VBATT_UVP_CTRL_ON,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Set_VCCMAIN_UVP_CTRL_ON,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Set_VBATT_UVP_CTRL_OFF,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Set_VCCMAIN_UVP_CTRL_OFF,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,VBATT_Power_Discharge,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,PPVCC_MAIN_Discharge,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Set_VBATT_To_0V,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,Delay_500ms,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,VBATT_Power_Disconnect,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,VoltageCheck_Safety_VBAT4V2,PPVCC_MAIN_Disconnect,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,Set_VBUS_OCP_4A,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,Set_VBUS_OVP_6V,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,Set_VBATT_OVP_4V6,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,Set_VBATT_OCP_16A,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,PSU_12V_Input_Connect,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,PSU_7V5_Input_Connect,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,Set_VBATT_4V2_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,ACE_TO_PARROT_RESET_L,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,GPIO_FORCE_DFU_1V2_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,Debug_UART_Connected_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,USB_SOC_Connected_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Power,On_Seq_1,Set_PDVBUS_5V_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
