TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
82,2,1636403596.642840,1636403596.702121,0.059281,GeneralAction_3,SystemScheduler,slot4,1337973572920727165
83,2,1636403596.705127,1636403597.084063,0.378936,GeneralAction_4,SystemScheduler,slot4,1337973572920727165
8,2,1636401476.210266,1636401478.984934,2.774668,GeneralAction_5,SystemScheduler,slot4,1337973572920727165
15,2,1636401492.353341,1636401495.507650,3.154309,On_Seq_1,SystemScheduler,slot4,1337973572920727165
52,2,1636402908.703688,1636402908.815397,0.111709,Syscfg_WSKU,SystemScheduler,slot4,1337973572920727165
40,2,1636402394.005382,1636402394.145270,0.139888,Syscfg,SystemScheduler,slot4,1337973572920727165
25,2,1636402277.669927,1636402283.074601,5.404674,On_Seq_2,SystemScheduler,slot4,1337973572920727165
5,2,1636401476.102346,1636403597.084088,2120.981742,GraphIndex1,SystemScheduler,slot4,1337973572920727165
28,2,1636402306.120382,1636402306.230572,0.110190,DiagsFW_Version,SystemScheduler,slot4,1337973572920727165
55,2,1636402923.011821,1636402923.953532,0.941711,Bluetooth,SystemScheduler,slot4,1337973572920727165
84,3,1636403606.998516,1636403608.411251,1.412735,GraphIndex2,SystemScheduler,slot4,3583625091097313610
86,3,1636403607.033914,1636403608.133923,1.100009,GeneralAction_6,SystemScheduler,slot4,3583625091097313610
85,3,1636403606.998574,1636403607.033828,0.035254,GeneralAction_7,SystemScheduler,slot4,3583625091097313610
87,3,1636403608.134005,1636403608.163672,0.029667,GetRpcServerLog,SystemScheduler,slot4,3583625091097313610
88,3,1636403608.163755,1636403608.411224,0.247469,addLogToInsight,SystemScheduler,slot4,3583625091097313610
,,1636401471.975976,1636403620.762687,2148.786711,,DeviceStartStop,,
