TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
71,2,1636343489.449264,1636343489.497602,0.048338,Registers,SystemScheduler,slot4,16428178491954807305
82,2,1636344103.546866,1636344103.593206,0.046340,GeneralAction_3,SystemScheduler,slot4,16428178491954807305
83,2,1636344103.595728,1636344103.966004,0.370276,GeneralAction_4,SystemScheduler,slot4,16428178491954807305
73,2,1636343761.974024,1636344041.403419,279.429395,PCIeEnum_Ans3,SystemScheduler,slot4,16428178491954807305
8,2,1636342209.495352,1636342210.038634,0.543282,GeneralAction_5,SystemScheduler,slot4,16428178491954807305
15,2,1636342224.535537,1636342227.984606,3.449069,On_Seq_1,SystemScheduler,slot4,16428178491954807305
52,2,1636343414.702608,1636343414.795664,0.093056,Syscfg_WSKU,SystemScheduler,slot4,16428178491954807305
40,2,1636342901.561264,1636342901.652742,0.091478,Syscfg,SystemScheduler,slot4,16428178491954807305
25,2,1636342790.058914,1636342793.691256,3.632342,On_Seq_2,SystemScheduler,slot4,16428178491954807305
5,2,1636342209.389526,1636344103.966028,1894.576502,GraphIndex1,SystemScheduler,slot4,16428178491954807305
28,2,1636342814.259583,1636342814.387902,0.128319,DiagsFW_Version,SystemScheduler,slot4,16428178491954807305
55,2,1636343429.073960,1636343430.022113,0.948153,Bluetooth,SystemScheduler,slot4,16428178491954807305
84,3,1636344112.095141,1636344114.326770,2.231629,GraphIndex2,SystemScheduler,slot4,3583625091097313610
86,3,1636344112.660296,1636344112.681901,0.021605,GeneralAction_6,SystemScheduler,slot4,3583625091097313610
85,3,1636344112.095190,1636344112.660215,0.565025,GeneralAction_7,SystemScheduler,slot4,3583625091097313610
87,3,1636344112.681993,1636344114.094847,1.412854,GetRpcServerLog,SystemScheduler,slot4,3583625091097313610
88,3,1636344114.094929,1636344114.326745,0.231816,addLogToInsight,SystemScheduler,slot4,3583625091097313610
,,1636342205.280893,1636344127.086198,1921.805305,,DeviceStartStop,,
