attributeName,attributeValue,testName,subTestName,subSubTestName,relaxedUpperLimit,upperLimit,measurementValue,lowerLimit,relaxedLowerLimit,measurementUnits,priority,status,failureMessage,startTime,stopTime,timeInterval
,,System,Syscfg_Check-RFEM_sanity_check,RFEM_print,,1,1,0,,,,PASS,No user failure message was provided,,,
RFEMKey,01000000000000004D55520000000000534B590000000000,,,,,,,,,,,,,,,
,,System,Syscfg_Check-RFEM_sanity_check,Readback_compare,,1,0,0,,,,FAIL,No user failure message was provided,,,
,,System,Syscfg_Check-RFEM_sanity_check,Length,NA,24,24,24,NA,,1,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-RFEM_sanity_check,Version,,1,1,0,,,,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-RFEM_sanity_check,Expected_value,,1,1,0,,,,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-RFEM_sanity_check,RFEM_Compare,,1,1,0,,,,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-WSKU_sanity_check,WSKU_read,,1,1,0,,,,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-WSKU_sanity_check,WSKU_print,,1,1,0,,,,PASS,No user failure message was provided,,,
WSKUKey,0x00000001 0x00000000 0x00005757 0x00000000,,,,,,,,,,,,,,,
,,System,Syscfg_Check-WSKU_sanity_check,Length,NA,16,16,16,NA,,1,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-WSKU_sanity_check,Version,,1,1,0,,,,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-WSKU_sanity_check,Expected_value,,1,1,0,,,,PASS,No user failure message was provided,,,
,,System,Syscfg_Check-WSKU_sanity_check,WSKU_Compare,,1,1,0,,,,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE,Smokey_PCIe_Run,,1,1,0,,,,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_BB,BBEye_Width,NA,NA,55,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_BB,BBi_Width,NA,NA,55,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_BB,BBEye_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_BB,BBi_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_BB,BB_Vertical_Opening,NA,700,577.0240000000001,120,NA,mV,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_BB,BB_Horizontal_Opening,NA,1,0.859375,0.32,NA,uI,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_WiFi,WIFIEye_Width,NA,NA,47,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_WiFi,WIFIi_Width,NA,NA,47,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_WiFi,WIFIEye_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_WiFi,WIFIi_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_WiFi,WIFI_Vertical_Opening,NA,700,577.0240000000001,120,NA,mV,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_WiFi,WIFI_Horizontal_Opening,NA,1,0.734375,0.32,NA,uI,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_AP,S5EtoAP_Eye_Width,NA,NA,50,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_AP,S5EtoAP_i_Width,NA,NA,50,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_AP,S5EtoAP_Eye_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_AP,S5EtoAP_i_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_AP,S5EtoAP_Vertical_Opening,NA,700,577.0240000000001,15,NA,mV,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_AP,S5EtoAP_Horizontal_Opening,NA,1,0.78125,0.3,NA,uI,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_S5E,APtoS5E_Eye_Width,NA,NA,51,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_S5E,APtoS5E_i_Width,NA,NA,51,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_S5E,APtoS5E_Eye_Height,NA,NA,59,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_S5E,APtoS5E_i_Height,NA,NA,59,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_S5E,APtoS5E_Vertical_Opening,NA,700,531.944,15,NA,mV,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_Nand_S5E,APtoS5E_Horizontal_Opening,NA,1,0.796875,0.3,NA,uI,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIE,PCIE_Hang_Check,,1,1,0,,,,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE,Smokey_PCIe_Run_Sec,,1,1,0,,,,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,FL1100Eye_Width,NA,NA,52,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,FL1100i_Width,NA,NA,52,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,FL1100Eye_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,FL1100i_Height,NA,NA,64,NA,NA,,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,FL1100_Vertical_Opening,NA,700,577.0240000000001,120,NA,mV,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,FL1100_Horizontal_Opening,NA,1,0.8125,0.32,NA,uI,1,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,BT_OFF,,1,1,0,,,,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,WIFI_OFF,,1,1,0,,,,PASS,No user failure message was provided,,,
,,PCIE,Smokey_PCIe_EYE_FL1100,SH_OFF,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Dimension,LOAD,USB_SOC_Connected_DMN,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Dimension,LOAD,LOAD CORE 1,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Dimension,LOAD,DELAY_1000MS,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Dimension,LOAD,START CORE 1,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Dimension,LOAD,PICK CORE 1,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Dimension,LOAD,ENABLE PORT 1,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Dimension,Connect,CONNECT PORT 1,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Accelerometer,Sensor_Vendor,read_vendor,,1,1,0,,,,PASS,No user failure message was provided,,,
Accel_vendor,Bosch,,,,,,,,,,,,,,,
,,Accelerometer,Sensor_Vendor,accel_vendor,,1,1,0,,,,PASS,No user failure message was provided,,,
Gyro_vendor,Bosch,,,,,,,,,,,,,,,
,,Accelerometer,Sensor_Vendor,gyro_vendor,,1,1,0,,,,PASS,No user failure message was provided,,,
Inertial_Type,Bosch BMI282AA,,,,,,,,,,,,,,,
,,Accelerometer,Type,inertial_type,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Accelerometer,Interrupt_Line_Conn_Test,accel_connectivity,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Accelerometer,Accel_Only_Test,accel_only_test,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Accelerometer,Auto_Selftest,accel_selftest,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Accelerometer,Accel_Only_Test,accel_only_test_sec,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Accelerometer,AVG-FS8g_ODR100HZ_Zup,accel_only_average_x,NA,0.118,-0.014707,-0.118,NA,g,1,PASS,No user failure message was provided,,,
,,Accelerometer,AVG-FS8g_ODR100HZ_Zup,accel_only_average_y,NA,0.118,-0.012055,-0.118,NA,g,1,PASS,No user failure message was provided,,,
,,Accelerometer,AVG-FS8g_ODR100HZ_Zup,accel_only_average_z,NA,1.1,0.98294,0.9,NA,g,1,PASS,No user failure message was provided,,,
,,Accelerometer,STD-FS8g_ODR100HZ_Zup,accel_only_std_x,NA,0.05,0.001086,1e-05,NA,g-rms,1,PASS,No user failure message was provided,,,
,,Accelerometer,STD-FS8g_ODR100HZ_Zup,accel_only_std_y,NA,0.05,0.001074,1e-05,NA,g-rms,1,PASS,No user failure message was provided,,,
,,Accelerometer,STD-FS8g_ODR100HZ_Zup,accel_only_std_z,NA,0.05,0.001958,1e-05,NA,g-rms,1,PASS,No user failure message was provided,,,
,,Accelerometer,ODR-FS8g_ODR100HZ,accel_only_odr,NA,110,100.515771,90,NA,Hz,1,PASS,No user failure message was provided,,,
,,Nand,General_Info,NANDUID,,1,1,0,,,,PASS,No user failure message was provided,,,
NANDUID_MSP0_CH0_Die0,98 0C 27 13 10 19 45 50 30 16 10 18 13 07 0A 14 ,,,,,,,,,,,,,,,
,,Nand,General_Info,MSP0_CH0_Die0,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_Total_Controller_Count,1,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_Total_Controller_Count,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_Total_Die_Count,1,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_Total_Die_Count,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Nand,General_Info,NAND_CSID,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_CS,00000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001 = 0x0001 = 1,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_CS,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_ID,0x0000E47603983E98,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_ID,,1,1,0,,,,PASS,No user failure message was provided,,,
FCE0,0x0000E47603983E98,,,,,,,,,,,,,,,
,,Nand,General_Info,FCE00,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_VENDOR,Toshiba,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_VENDOR,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_Capacity,64GB,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_Capacity,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_Die_Name,tlc_3d_g5_2p_512,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_Die_Name,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_Controller_UID,0ba0102b21ac2014,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_Controller_UID,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_TYPE,S5E,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_TYPE,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_Cell_Type,TLC,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_Cell_Type,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_Model_Number,APPLE SSD AP0064Z                       ,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_Model_Number,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_FW_Revision,203.0.0.,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_FW_Revision,,1,1,0,,,,PASS,No user failure message was provided,,,
MSP_Revision,3.11.1.0.0.0,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_MSP_Revision,,1,1,0,,,,PASS,No user failure message was provided,,,
NAND_SIZE,64GB,,,,,,,,,,,,,,,
,,Nand,General_Info,NAND_SIZE,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Nand,General_Info,EEEE_CODE_Compare,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Nand,GBB_Test,NAND_DEBUG_TEST_BEGIN,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Gyro,Initial,gyro_init_normal,,1,1,0,,,,PASS,No user failure message was provided,,,
,,Gyro,Gyro_Normal_Test,accel_gyro_normal_test,,1,1,0,,,,PASS,No user failure message was provided,,,
Gyro_Manu_id,0x00E4,,,,,,,,,,,,,,,
,,Gyro,Type,inertial_manu_id,,1,1,0,,,,PASS,No user failure message was provided,,,
Gyro_Rev_id,0x10,,,,,,,,,,,,,,,
,,Gyro,ID_Registers,inertial_rev_id,,1,1,0,,,,PASS,No user failure message was provided,,,
